,Discharge.Montana abv McGinnis@near Juneau,Discharge.Montana abv McGinnis@near Juneau,Discharge.Montana abv McGinnis@near Juneau,Discharge.Montana abv McGinnis@near Juneau
mm/dd/yyyy HH:MM:SS,m^3/s,,,
Date-Time,Value,Grade,Approval,Interpolation Code
4/29/2021 7:15,1.246828037,,0,1
4/29/2021 7:30,1.254904902,,0,1
4/29/2021 7:45,1.26301159,,0,1
4/29/2021 8:00,1.26301159,,0,1
4/29/2021 8:15,1.295737131,,0,1
4/29/2021 8:30,1.320595779,,0,1
4/29/2021 8:45,1.354161363,,0,1
4/29/2021 9:00,1.40541479,,0,1
4/29/2021 9:15,1.440189611,,0,1
4/29/2021 9:30,1.511200985,,0,1
4/29/2021 9:45,1.60272326,,0,1
4/29/2021 10:00,1.697334191,,0,1
4/29/2021 10:15,1.835026856,,0,1
4/29/2021 10:30,1.916475227,,0,1
4/29/2021 10:45,2.053159711,,0,1
4/29/2021 11:00,2.274022286,,0,1
4/29/2021 11:15,2.401021404,,0,1
4/29/2021 11:30,2.483898898,,0,1
4/29/2021 11:45,2.642095348,,0,1
4/29/2021 12:00,2.818732828,,0,1
4/29/2021 12:15,3.001933758,,0,1
4/29/2021 12:30,3.082472431,,0,1
4/29/2021 12:45,3.164232189,,0,1
4/29/2021 13:00,3.303224411,,0,1
4/29/2021 13:15,3.359779313,,0,1
4/29/2021 13:30,3.518142331,,0,1
4/29/2021 13:45,3.431245745,,0,1
4/29/2021 14:00,3.606283334,,0,1
4/29/2021 14:15,3.66573753,,0,1
4/29/2021 14:30,3.755962364,,0,1
4/29/2021 14:45,3.635940971,,0,1
4/29/2021 15:00,3.786316233,,0,1
4/29/2021 15:15,3.971379409,,0,1
4/29/2021 15:30,4.177581033,,0,1
4/29/2021 15:45,4.034190948,,0,1
4/29/2021 16:00,4.226014728,,0,1
4/29/2021 16:15,4.258481259,,0,1
4/29/2021 16:30,4.489734505,,0,1
4/29/2021 16:45,4.762617826,,0,1
4/29/2021 17:00,4.920170881,,0,1
4/29/2021 17:15,5.008968856,,0,1
4/29/2021 17:30,5.541995631,,0,1
4/29/2021 17:45,5.504244168,,0,1
4/29/2021 18:00,5.466640125,,0,1
4/29/2021 18:15,5.790983449,,0,1
4/29/2021 18:30,5.617941394,,0,1
4/29/2021 18:45,5.713705402,,0,1
4/29/2021 19:00,5.752270249,,0,1
4/29/2021 19:15,5.713705402,,0,1
4/29/2021 19:30,6.006564225,,0,1
4/29/2021 19:45,5.888416431,,0,1
4/29/2021 20:00,5.73296929,,0,1
4/29/2021 20:15,5.56092669,,0,1
4/29/2021 20:30,5.225797201,,0,1
4/29/2021 20:45,5.116726537,,0,1
4/29/2021 21:00,4.814809942,,0,1
4/29/2021 21:15,4.779979074,,0,1
4/29/2021 21:30,4.557093194,,0,1
4/29/2021 21:45,4.307447545,,0,1
4/29/2021 22:00,4.145469076,,0,1
4/29/2021 22:15,4.034190948,,0,1
4/29/2021 22:30,3.816809834,,0,1
4/29/2021 22:45,3.786316233,,0,1
4/29/2021 23:00,3.635940971,,0,1
4/29/2021 23:15,3.621094797,,0,1
4/29/2021 23:30,3.53274596,,0,1
4/29/2021 23:45,3.474538763,,0,1
4/30/2021 0:00,3.416883654,,0,1
4/30/2021 0:15,3.431245745,,0,1
4/30/2021 0:30,3.416883654,,0,1
4/30/2021 0:45,3.345589129,,0,1
4/30/2021 1:00,3.44564228,,0,1
4/30/2021 1:15,3.331433265,,0,1
4/30/2021 1:30,3.374003836,,0,1
4/30/2021 1:45,3.431245745,,0,1
4/30/2021 2:00,3.431245745,,0,1
4/30/2021 2:15,3.431245745,,0,1
4/30/2021 2:30,3.460073279,,0,1
4/30/2021 2:45,3.489038752,,0,1
4/30/2021 3:00,3.547384178,,0,1
4/30/2021 3:15,3.591506561,,0,1
4/30/2021 3:30,3.562057003,,0,1
4/30/2021 3:45,3.576764458,,0,1
4/30/2021 4:00,3.621094797,,0,1
4/30/2021 4:15,3.66573753,,0,1
4/30/2021 4:30,3.710693203,,0,1
4/30/2021 4:45,3.740837778,,0,1
4/30/2021 5:00,3.755962364,,0,1
4/30/2021 5:15,3.816809834,,0,1
4/30/2021 5:30,3.710693203,,0,1
4/30/2021 5:45,3.710693203,,0,1
4/30/2021 6:00,3.680687956,,0,1
4/30/2021 6:15,3.710693203,,0,1
4/30/2021 6:30,3.680687956,,0,1
4/30/2021 6:45,3.606283334,,0,1
4/30/2021 7:00,3.725748064,,0,1
4/30/2021 7:15,3.591506561,,0,1
4/30/2021 7:30,3.635940971,,0,1
4/30/2021 7:45,3.621094797,,0,1
4/30/2021 8:00,3.650821875,,0,1
4/30/2021 8:15,3.606283334,,0,1
4/30/2021 8:30,3.518142331,,0,1
4/30/2021 8:45,3.518142331,,0,1
4/30/2021 9:00,3.53274596,,0,1
4/30/2021 9:15,3.44564228,,0,1
4/30/2021 9:30,3.474538763,,0,1
4/30/2021 9:45,3.431245745,,0,1
4/30/2021 10:00,3.345589129,,0,1
4/30/2021 10:15,3.345589129,,0,1
4/30/2021 10:30,3.317311699,,0,1
4/30/2021 10:45,3.345589129,,0,1
4/30/2021 11:00,3.303224411,,0,1
4/30/2021 11:15,3.303224411,,0,1
4/30/2021 11:30,3.345589129,,0,1
4/30/2021 11:45,3.261168003,,0,1
4/30/2021 12:00,3.261168003,,0,1
4/30/2021 12:15,3.261168003,,0,1
4/30/2021 12:30,3.261168003,,0,1
4/30/2021 12:45,3.247217616,,0,1
4/30/2021 13:00,3.21941934,,0,1
4/30/2021 13:15,3.247217616,,0,1
4/30/2021 13:30,3.233301402,,0,1
4/30/2021 13:45,3.21941934,,0,1
4/30/2021 14:00,3.261168003,,0,1
4/30/2021 14:15,3.15052057,,0,1
4/30/2021 14:30,3.164232189,,0,1
4/30/2021 14:45,3.164232189,,0,1
4/30/2021 15:00,3.15052057,,0,1
4/30/2021 15:15,3.109589781,,0,1
4/30/2021 15:30,3.082472431,,0,1
4/30/2021 15:45,3.082472431,,0,1
4/30/2021 16:00,3.001933758,,0,1
4/30/2021 16:15,2.975358088,,0,1
4/30/2021 16:30,3.001933758,,0,1
4/30/2021 16:45,2.909509121,,0,1
4/30/2021 17:00,2.922611548,,0,1
4/30/2021 17:15,2.857435593,,0,1
4/30/2021 17:30,2.922611548,,0,1
4/30/2021 17:45,2.78033145,,0,1
4/30/2021 18:00,2.80589891,,0,1
4/30/2021 18:15,2.729597414,,0,1
4/30/2021 18:30,2.729597414,,0,1
4/30/2021 18:45,2.716997295,,0,1
4/30/2021 19:00,2.691896969,,0,1
4/30/2021 19:15,2.666929713,,0,1
4/30/2021 19:30,2.65449593,,0,1
4/30/2021 19:45,2.65449593,,0,1
4/30/2021 20:00,2.629727945,,0,1
4/30/2021 20:15,2.617393699,,0,1
4/30/2021 20:30,2.605092586,,0,1
4/30/2021 20:45,2.65449593,,0,1
4/30/2021 21:00,2.629727945,,0,1
4/30/2021 21:15,2.65449593,,0,1
4/30/2021 21:30,2.629727945,,0,1
4/30/2021 21:45,2.666929713,,0,1
4/30/2021 22:00,2.704430487,,0,1
4/30/2021 22:15,2.704430487,,0,1
4/30/2021 22:30,2.716997295,,0,1
4/30/2021 22:45,2.754897677,,0,1
4/30/2021 23:00,2.844501147,,0,1
4/30/2021 23:15,2.883405164,,0,1
4/30/2021 23:30,2.962120885,,0,1
4/30/2021 23:45,2.988629038,,0,1
5/1/2021 0:00,3.082472431,,0,1
5/1/2021 0:15,3.109589781,,0,1
5/1/2021 0:30,3.21941934,,0,1
5/1/2021 0:45,3.205571409,,0,1
5/1/2021 1:00,3.233301402,,0,1
5/1/2021 1:15,3.247217616,,0,1
5/1/2021 1:30,3.233301402,,0,1
5/1/2021 1:45,3.28917138,,0,1
5/1/2021 2:00,3.21941934,,0,1
5/1/2021 2:15,3.191757587,,0,1
5/1/2021 2:30,3.191757587,,0,1
5/1/2021 2:45,3.136842977,,0,1
5/1/2021 3:00,3.042050747,,0,1
5/1/2021 3:15,3.082472431,,0,1
5/1/2021 3:30,3.001933758,,0,1
5/1/2021 3:45,2.948917409,,0,1
5/1/2021 4:00,2.922611548,,0,1
5/1/2021 4:15,2.883405164,,0,1
5/1/2021 4:30,2.844501147,,0,1
5/1/2021 4:45,2.818732828,,0,1
5/1/2021 5:00,2.742230868,,0,1
5/1/2021 5:15,2.729597414,,0,1
5/1/2021 5:30,2.642095348,,0,1
5/1/2021 5:45,2.592824585,,0,1
5/1/2021 6:00,2.544083249,,0,1
5/1/2021 6:15,2.471960778,,0,1
5/1/2021 6:30,2.460055522,,0,1
5/1/2021 6:45,2.412762682,,0,1
5/1/2021 7:00,2.342805463,,0,1
5/1/2021 7:15,2.365993842,,0,1
5/1/2021 7:30,2.262672216,,0,1
5/1/2021 7:45,2.240069403,,0,1
5/1/2021 8:00,2.195252433,,0,1
5/1/2021 8:15,2.128995806,,0,1
5/1/2021 8:30,2.128995806,,0,1
5/1/2021 8:45,2.074666799,,0,1
5/1/2021 9:00,2.063897242,,0,1
5/1/2021 9:15,2.031780631,,0,1
5/1/2021 9:30,2.010529366,,0,1
5/1/2021 9:45,1.957959135,,0,1
5/1/2021 10:00,1.937153708,,0,1
5/1/2021 10:15,1.90618353,,0,1
5/1/2021 10:30,1.885695103,,0,1
5/1/2021 10:45,1.865333133,,0,1
5/1/2021 11:00,1.835026856,,0,1
5/1/2021 11:15,1.814980169,,0,1
5/1/2021 11:30,1.795059249,,0,1
5/1/2021 11:45,1.755593918,,0,1
5/1/2021 12:00,1.775263899,,0,1
5/1/2021 12:15,1.706966144,,0,1
5/1/2021 12:30,1.716629265,,0,1
5/1/2021 12:45,1.687733379,,0,1
5/1/2021 13:00,1.678163684,,0,1
5/1/2021 13:15,1.668625079,,0,1
5/1/2021 13:30,1.640195558,,0,1
5/1/2021 13:45,1.630781063,,0,1
5/1/2021 14:00,1.60272326,,0,1
5/1/2021 14:15,1.584172535,,0,1
5/1/2021 14:30,1.60272326,,0,1
5/1/2021 14:45,1.584172535,,0,1
5/1/2021 15:00,1.574943438,,0,1
